Element	Polarizability	Z	Period	Group	Weight	Ionization Energy	std_weight
H	4.50711	1	Period 1	Group 1	1.008	13.6	-1.61542862173516
He	1.38375	2	Period 1	Group 8	4.003	24.59	-1.57919786995875
Li	164.1125	3	Period 2	Group 1	6.941	5.39	-1.54365665168859
Be	37.74	4	Period 2	Group 2	9.012	9.32	-1.51860360096106
B	20.5	5	Period 2	Group 13	10.811	8.3	-1.49684095573709
C	11.3	6	Period 2	Group 14	12.011	11.26	-1.48232446086841
N	7.4	7	Period 2	Group 15	14.007	14.53	-1.45817869107017
O	5.3	8	Period 2	Group 16	15.999	13.62	-1.43408130958816
F	3.74	9	Period 2	Group 17	18.998	17.42	-1.39780216949551
Ne	2.6611	10	Period 2	Group 18	20.18	21.56	-1.38350342204986
Na	162.7	11	Period 3	Group 1	22.99	5.14	-1.34951062989903
Mg	71.2	12	Period 3	Group 2	24.305	7.65	-1.33360297093876
Al	57.8	13	Period 3	Group 13	26.982	5.99	-1.30121909030255
Si	37.3	14	Period 3	Group 14	28.086	8.15	-1.28786391502336
P	25	15	Period 3	Group 15	30.974	10.49	-1.25292755070606
S	19.4	16	Period 3	Group 16	32.065	10.36	-1.23972963745462
Cl	14.6	17	Period 3	Group 17	35.453	12.97	-1.19874473360871
Ar	11.083	18	Period 3	Group 18	39.948	15.76	-1.14436836324644
K	289.7	19	Period 4	Group 1	39.098	4.34	-1.15465088044509
Ca	160.8	20	Period 4	Group 2	40.078	6.11	-1.142795742969
Sc	97	21	Period 4	Group 3	44.956	6.56	-1.08378619132781
Ti	100	22	Period 4	Group 4	47.867	6.83	-1.0485715941922
V	87	23	Period 4	Group 5	50.942	6.75	-1.0113730760912
Cr	83	24	Period 4	Group 6	51.996	6.77	-0.998622754764873
Mn	68	25	Period 4	Group 7	54.938	7.43	-0.963033148178488
Fe	62	26	Period 4	Group 8	55.845	7.9	-0.952061097473576
Co	55	27	Period 4	Group 9	58.933	7.88	-0.914705317344834
Ni	49	28	Period 4	Group 10	58.693	7.64	-0.917608616318571
Cu	46.5	29	Period 4	Group 11	63.546	7.73	-0.85890149165381
Zn	38.67	30	Period 4	Group 12	65.39	9.39	-0.836594477872269
Ga	50	31	Period 4	Group 13	69.723	6	-0.78417783431727
Ge	40	32	Period 4	Group 14	72.64	7.9	-0.748890654707316
As	30	33	Period 4	Group 15	74.922	9.79	-0.721285120298706
Se	28.9	34	Period 4	Group 16	78.96	9.75	-0.672437115065592
Br	21	35	Period 4	Group 17	79.904	11.81	-0.661017472435562
Kr	16.78	36	Period 4	Group 18	83.8	14	-0.613887252428575
Rb	319.8	37	Period 5	Group 1	85.468	4.18	-0.593709324561107
Sr	197.2	38	Period 5	Group 2	87.62	5.69	-0.567676410429937
Y	162	39	Period 5	Group 3	88.906	6.22	-0.552119566762333
Zr	112	40	Period 5	Group 4	91.224	6.63	-0.524078537507663
Nb	98	41	Period 5	Group 5	92.906	6.76	-0.503731250533394
Mo	87	42	Period 5	Group 6	95.94	7.09	-0.467028712673743
Tc	79	43	Period 5	Group 7	98	7.28	-0.44210872981584
Ru	72	44	Period 5	Group 8	101.07	7.36	-0.404970697110129
Rh	66	45	Period 5	Group 9	102.906	7.46	-0.382760459961045
Pd	26.14	46	Period 5	Group 10	106.42	8.34	-0.340251324153922
Ag	55	47	Period 5	Group 11	107.868	7.58	-0.322734753679046
Cd	46	48	Period 5	Group 12	112.411	8.99	-0.267777723522028
In	65	49	Period 5	Group 13	114.818	5.79	-0.238660054231263
Sn	53	50	Period 5	Group 14	118.71	7.34	-0.191578222540505
Sb	43	51	Period 5	Group 15	121.76	8.61	-0.154682131415939
Te	38	52	Period 5	Group 16	127.6	9.01	-0.084035189721687
I	32.9	53	Period 5	Group 17	126.905	10.45	-0.092442659666465
Xe	27.32	54	Period 5	Group 18	131.293	12.13	-0.039360676763319
Cs	400.9	55	Period 6	Group 1	132.906	3.89	-0.019848088243999
Ba	272	56	Period 6	Group 2	137.327	5.21	0.033633098268037
La	215	57	Period 6	Group 3	138.906	5.58	0.05273438609941
Ce	205	58	Period 6	No Group	140.116	5.54	0.067371851758665
Pr	216	59	Period 6	No Group	140.908	5.47	0.076952738371994
Nd	208	60	Period 6	No Group	144.24	5.53	0.117260205790701
Pm	200	61	Period 6	No Group	145	5.58	0.1264539858742
Sm	192	62	Period 6	No Group	150.36	5.64	0.191294329620979
Eu	184	63	Period 6	No Group	151.964	5.67	0.210698044428783
Gd	158	64	Period 6	No Group	157.25	6.15	0.274643204325327
Tb	170	65	Period 6	No Group	158.925	5.86	0.294905811746195
Dy	163	66	Period 6	No Group	162.5	5.94	0.33815286937581
Ho	156	67	Period 6	No Group	164.93	6.02	0.367548771484891
Er	150	68	Period 6	No Group	167.259	6.11	0.395722868609191
Tm	144	69	Period 6	No Group	168.934	6.18	0.415985476030059
Yb	139	70	Period 6	No Group	173.04	6.25	0.465656082639065
Lu	137	71	Period 6	No Group	174.967	5.43	0.488967153982357
Hf	103	72	Period 6	Group 4	178.49	6.83	0.531585163500996
Ta	74	73	Period 6	Group 5	180.948	7.55	0.561319783823679
W	68	74	Period 6	Group 6	183.84	7.86	0.596304536457202
Re	62	75	Period 6	Group 7	186.207	7.83	0.624938322585677
Os	57	76	Period 6	Group 8	190.23	8.44	0.673604871632933
Ir	54	77	Period 6	Group 9	192.217	8.97	0.697641767719659
Pt	48	78	Period 6	Group 10	195.078	8.96	0.732251510902408
Au	36	79	Period 6	Group 11	196.967	9.23	0.755102893241525
Hg	33.91	80	Period 6	Group 12	200.59	10.44	0.798930610665886
Tl	50	81	Period 6	Group 13	204.383	6.11	0.844814831529978
Pb	47	82	Period 6	Group 14	207.2	7.42	0.878892303234209
Bi	48	83	Period 6	Group 15	208.98	7.29	0.900425103956087
Po	44	84	Period 6	Group 16	209	8.42	0.900667045537232
At	42	85	Period 6	Group 17	210	9.3	0.912764124594466
Rn	35	86	Period 6	Group 18	222	10.75	1.05792907328129
Fr	317.8	87	Period 7	Group 1	223	4.07	1.07002615233852
Ra	246	88	Period 7	Group 2	226	5.28	1.10631738951022
Ac	203	89	Period 7	Group 3	227	5.17	1.11841446856746
Th	217	90	Period 7	No Group	232.038	6.31	1.17935955285781
Pa	154	91	Period 7	No Group	231.036	5.89	1.16723827964246
U	129	92	Period 7	No Group	238.029	6.19	1.2518331534897
Np	151	93	Period 7	No Group	237	6.27	1.23938525913981
Pu	132	94	Period 7	No Group	244	6.03	1.32406481254045
Am	131	95	Period 7	No Group	243	5.97	1.31196773348322
Cm	144	96	Period 7	No Group	247	5.99	1.36035604971216
Bk	125	97	Period 7	No Group	247	6.2	1.36035604971216
Cf	122	98	Period 7	No Group	251	6.28	1.4087443659411
Es	118	99	Period 7	No Group	252	6.42	1.42084144499833
Fm	113	100	Period 7	No Group	257	6.5	1.48132684028451
Md	109	101	Period 7	No Group	258	6.58	1.49342391934174
No	110	102	Period 7	No Group	259	6.65	1.50552099839898
Lr	320	103	Period 7	No Group	262	4.9	1.54181223557068
Rf	112	104	Period 7	Group 4	261	0	1.52971515651345
Db	42	105	Period 7	Group 5	262	0	1.54181223557068
Sg	40	106	Period 7	Group 6	266	0	1.59020055179962
Bh	38	107	Period 7	Group 7	264	0	1.56600639368515
Hs	36	108	Period 7	Group 8	277	0	1.7232684214292
Mt	34	109	Period 7	Group 9	268	0	1.61439470991409
Ds	32	110	Period 7	Group 10	0	0	-1.62762247742486
Rg	32	111	Period 7	Group 11	0	0	-1.62762247742486
Cn	28	112	Period 7	Group 12	0	0	-1.62762247742486
Nh	29	113	Period 7	Group 13	0	0	-1.62762247742486
Fl	31	114	Period 7	Group 14	0	0	-1.62762247742486
Mc	71	115	Period 7	Group 15	0	0	-1.62762247742486
Ts	76	116	Period 7	Group 17	0	0	-1.62762247742486
